ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00004,Animal,19-4-2013,12:55:19 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0004,4.5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00005,Animal,19-4-2013,12:55:20 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0005,4.5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00006,Animal,19-4-2013,12:55:21 AM,70,creciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,trillo,,C1.1n37,PICT0006,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00007,Animal,20-4-2013,4:59:28 AM,70,creciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,,Pantano,Cruzado,,C1.1n37,PICT0007,2,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00008,Animal,20-4-2013,4:59:29 AM,70,creciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,,Pantano,Cruzado,,C1.1n37,PICT0008,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00009,Animal,20-4-2013,4:59:30 AM,70,creciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,,Pantano,Cruzado,,C1.1n37,PICT0009,2.5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00016,Animal,27-4-2013,3:36:10 PM,79,decreciente,Yaguarundi,Mammalia,Carnivora,Felidae,Puma,yagouaroundi,Puma yagouaroundi,1,,,Pantano,Transecto,,C1.1n37,PICT0016,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00021,Animal,28-4-2013,10:43:52 PM,73,decreciente,Tapir amazónico,Mammalia,Perissodactyla,Tapiridae,Tapirus,terrestris,Tapirus terrestris,1,A,,Pantano,Transecto,,C1.1n37,PICT0021,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00022,Animal,30-4-2013,12:37:16 PM,75,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0022,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00023,Animal,30-4-2013,12:37:17 PM,75,decreciente,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0023,4,Erick Santana
